Conv_ID,Summary
1,Building is shaking here in Tokyo!! hey man. I am feeling an earthquake !!!!!! It's scary when u experience it for the 1st few times!
2,"My first reaction:  I need to save on Google docs that paper I have been editing all day  #priorities Just as I was reading about natural disasters, we felt a small #earthquake in Oakland. Always good to be prepared with five days worth of drinking water, spare everything and healthy snacks, first aid, etc."
3,"For the people that live in Orlando,Florida.... apparently there was an earthquake in Florida and I didn t feel it.. did you guys feel it? It s really REALLY rare to have an earthquake in Florida so that s why I m asking if you guys felt it Yes, I felt it. Didn't feel it, but heard a sliding glass door shake."
4,I missed this. Apparently some people in central Florida felt shaking like an earthquake today?
5,"I realize it isn't really weather related, but about 2 hours ago our house shook really hard for about 5 seconds (I'm on the barrier island) and it was felt in Orlando. No one is saying what it is and we all felt it on the island from Cocoa Beach down to Indialantic and over to Orlando. I only ask because I did not specifically feel the ground shake. House and it was felt the same over an hour away. Don't think that's air pressure."
6,"Yes, I felt it. Weird."
7,My roommate and I thought we felt an earthquake tonight and through this weird website I found two other people who felt it and turns out we live in the same neighborhood and the working theory is @trvisXX s astroworld tour at Barclays I live close to Barclays and felt the same thing. The rage is real
8,"I was laying dead still and alone, so it wasn't me :) I wondered if it might have been a small quake! The neighbours were outside looking, so it wasn t just us that heard it and felt it. I live in Armstrong and while laying in bed, felt move. Hi Anne. Widespread."
9,"From my dad in #SylvanLake this morning: ""We may have had an earthquake here this morning. May of been a frost quake this morning in Red Deer will continue to look into it. Power on now but everyone in town is freaking out. Felt out to Lacombe, and east of Red Deer."" Yes lots of peeps saying they felt it at 5:55am."
10,"Felt it in San Francisco. Yep woke me up in Oakland (but had to verify on Twitter) Yeah I just felt it too here in Alameda Yup. Definitely. Felt the quake in Walnut Creek, California."
11,"Hope everything is ok??!! Wishing you a very enjoyable Christmas Susan! I hope everything gonna be ok??!! Everything is okay here, it was 4am and only a Magnitude 4 so not much happened. Wait aren't you the sake person Chris-"
12,"Felt it here too! Woke me up in Knoxville! I thought I must've been dreaming, but something woke me up, and I thought it was the whole house shaking. I m in Asheville and felt it! I just felt it too in Maryville TN Glad to know I'm not crazy! I just felt it in ATL"
13,I m sure the three people that died didn t think it was such  an awesome jolt  This is just distasteful Glad you are all okay...I hate it when that happens(former Alaskan). Being originally from Southern California this brought back some  interesting  memories! That 'awesome jolt' also happened to kill at least three people... Elissa s face says it all! My LA kids just had their first quake in Osaka :)
14,"Thought it was just me... Y'all I'm so shook, I wonder if @BTS_twt felt it? I'm just visiting, I live on the coast of Maine & we barely got them haha u must be more used to this than me #iVoteBTSBBMAs @BTS_twt I hope not but oof is it just me?? omfg I just felt an earthquake in LA!!! Haha yeah I m used to them but i always get scared/ panicky except for the super small ones like this one was kinda small but it was longer and it jolted . Y all felt it too?"
15,Hope you're ok though Just felt an earthquake in LA while listening to @taylorswift13 s  Shake It Off ..
16,"Looking for news of where it was ? Felt it here in Lynwood, scary!! We're all safe. Yes, off the Channel Islands. There might be a few aftershocks... no worries. We just felt an Earthquake in Malibu a pretty strong shake ! Ventura County."
17,Heard it was a 5.3 from Channel Islands? I took the screenshot before they updated it. literally just tweeted the same thing. That was the Trump train breaking down. Looks like USGS updated it to a 5.3 Me too.
