Conv_ID,Summary
1,I am feeling an earthquake !!!!!! Everything will b alright..reminds me of earthquake in Sabah not long ago.
2,"Hope it will remain an isolate episode .My first reaction:  I need to save on Google docs that paper I have been editing all day  #priorities.Always good to be prepared with five days worth of drinking water, spare everything and healthy snacks, first aid, etc. Just as I was reading about natural disasters, we felt a small #earthquake in Oakland."
3,"It s really REALLY rare to have an earthquake in Florida so that s why I m asking if you guys felt it.Yep live in Orlando florida usgs is clearly lying. For the people that live in Orlando,Florida.... apparently there was an earthquake in Florida and I didn t feel it.. did you guys feel it?"
4,Apparently some people in central Florida felt shaking like an earthquake today?
5,"I realize it isn't really weather related, but about 2 hours ago our house shook really hard for about 5 seconds (I'm on the barrier island) and it was felt in Orlando. I only ask because I did not specifically feel the ground shake..House and it was felt the same over an hour away. It felt like a Saturn V launch (not a sonic boom, just the launch)."
6,I m pretty sure I felt an earthquake in central Florida this evening.
7,My roommate and I thought we felt an earthquake tonight and through this weird website I found two other people who felt it and turns out we live in the same neighborhood and the working theory is @trvisXX s astroworld tour at Barclays.I live close to Barclays and felt the same thing.
8,"I was laying dead still and alone, so it wasn't me :) I wondered if it might have been a small quake! I live in Armstrong and while laying in bed, felt move. The neighbours were outside looking, so it wasn t just us that heard it and felt it..Yes, near Bastion school."
9,"May of been a frost quake this morning in Red Deer will continue to look into it..Yes lots of peeps saying they felt it at 5:55am. from Red Deer to Sylvan Lake..From my dad in #SylvanLake this morning: ""We may have had an earthquake here this morning. #YQL.It s possible that all the men of red deer have discovered my presence amongst their women."
10,"Kinda scary.Felt the quake in Walnut Creek, California..Yes.Yeah I just felt it too here in Alameda.#BREAKING: M3.7 earthquake strikes near Piedmont, California, per @USGS..Yup. Just felt an #earthquake in San Francisco."
11,"Just felt an #earthquake in Atlanta! !.I missed it, I was asleep.Indeed I was too..Wait aren't you the sake person Chris-.yeah.That s the only reason for the  indeed I was too .Everything is okay here, it was 4am and only a Magnitude 4 so not much happened..Wishing you a very enjoyable Christmas Susan!"
12,"Apparently there s been a number of earthquakes reported in the area..My mother used to say that you could feel them from time to time up that way. Glad to know I'm not crazy!.I m in Asheville and felt it!.I thought I must've been dreaming, but something woke me up, and I thought it was the whole house shaking..Yes!! Up feeding the baby and just felt an earthquake."
13,Do the rides shut down and are evacuated?.Glad you are all okay...I hate it when that happens(former Alaskan)..That 'awesome jolt' also happened to kill at least three people....I m sure the three people that died didn t think it was such  an awesome jolt  This is just distasteful We just felt an awesome jolt of a 5.9 earthquake in #Osaka!
14,"Haha yeah I m used to them but i always get scared/ panicky except for the super small ones like this one was kinda small but it was longer and it jolted . omfg I just felt an earthquake in LA!!! It was a small one, just a rumble haha."
15,Just felt an earthquake in LA while listening to @taylorswift13 s  Shake It Off ...The irony.Hope you're ok though
16,"We just felt an Earthquake in Malibu a pretty strong shake ! Channel Islands..Epicenter of quake was in the ocean, off the coast, just south of the Channel Islands..Pleased to hear your ok Roma..Oh No Hope ye are all ok and safe.We are in Washington said it was 5.3 in L A !.Omg glad your ok.There might be a few aftershocks... no worries."
17,I took the screenshot before they updated it..That was the Trump train breaking down..I think it s good to have l tremors vs ? Just felt an earthquake in LA.Me too.
18,"I m in jersey so it ll take me at least 7 hours but for you I will lol.I didn t feel anything but at the same time I ve been drinking so my whole world isn t balanced. Did anyone else in LA feel something just now that felt like an earthquake? LoL.Unfortunately, it was in fact a quake..No but I woke up from a dream here on the East Coast, in which there was an earthquake, about 3 hours ago."
19,"u make me laugh and ur a cutie so it's a win win for me..Only Raphael lol.Do a fast-food video in cali please.i swear you're my spirit animal.Your a gif lol.If you ever want to be sure.only you can pull that off tho i started freaking out and ran outside in my underwear because i was one hundred percent sure i felt an earthquake, turns out my table is just uneven."
20,"?.Oakland.I felt a brief movement in Tracy, at first I didn t think there was one until now..Yep Los Gatos!.Yes here in @Vallejo - Yes that s what woke me up out of my deep sleep and still in motion @QuakesToday. Just felt an #earthquake roll through in #SF! I woke up, thought I was dreaming then went back to sleep."
21,"!.#Earthquake felt in Burlingame, just woke us up at 2:40AM.Definitely felt it, too..It was pretty strong shit woke me up and i was high asleep.Felt earthquate at 2:40am in Martinez CA. Breaking-I just felt an earthquake from my home in east bay."
22,"Man, haven t felt one in awhile..Felt strong to me too.Sorry I was playing jump rope.Didn t feel that one but felt the one we had yesterday in San Martin..Didn t feel it in Houston, but now I feel *really* bad for leaving the cat home since his brother-from-another-mother died. Just felt an earthquake in San Jose...Bed started shaking and door kept rattling. Sitter will give him extra loves and snuggles today."
23,"Wow just felt an earthquake in Korea, was super scary considering I'm 20 stories up..Stay safe!.Snapping turtle coming to get ya..oh so that what it was i was so confused.perfectly normal for a building to sway during an earthquake, it would be worse if it didn t.Watch out for the aftershock.Why?.It s called damping, it allows for the vibrations from the ground to ripple upward through the building, if the building didn t sway there would be more structural damage..Underrated comment.Ok useful to know"
24,First instinct was to check twitter if #earthquake was trending..Big earthquake ?.You should follow @GlobalQuakeBot.It was a good one. Wasn't that strong (pictures stayed on the wall)..I was happy my wall mounted bike didn't fall. Just felt an earthquake in #SanJose.
25,"And seemed to last longer than 2 seconds..That was my thought too..Ya'll are going down.Jerry Brown...its your state..just democrats ..Just felt a jolt at 8:17PM near Petaluma..Just the old Shake and Bake..You can't tell a force of nature or a part of the earth to chill out, if the planet didn't have these quakes it would be a dead world. Small shake, lasted two seconds max. Just felt an #earthquake in East San Jose."
26,Felt in SW portions of Indiana..Is that fault common to give a jolt?.Wow! I thought nothing happens in IL.There is the new Madrid fault.
27,"Now I need a drink..Quick shake after and after-effect in West Hollywood.Shook us up in Los Feliz, too..Boy, that sure jolts you up, huh?.Prob an earthquake, Or.... maybe It's our unchecked rage over Trumpcare 3.0 rising to the surface in a quiet moment..Oh God. I just felt an earthquake in LA. Will stick with the britta but really feel like squashing fear with unnecessary purchases. I felt it in Hollywood Hills."
28,Not everyone in our building felt it..We felt another one just a couple of minutes ago. Felt the desk and floor sway..My mom also felt it as I was speaking on phone with her..In West San Jose and didn't feel it....Felt it on the 4th floor in Milpitas.Felt the quake here on Toyon near Alum Rock Park. Just felt an #earthquake in East San Jose. Who felt that?
29,"Think I just felt an earthquake in SF?.no that was Benchmark v Kalanick.You are just feeling the fallout of the $snap conference call and ER.. nothing to see here..Nope. This happened last time in our earthquake..Don't get emotional about stock, so says Gordon Gekko."
30,"We have pendant lights that were swaying back and forth 2' every which way.Yeah, sounds crazy! DEFINITELY just felt an #earthquake in Spokane. ?.Bozeman, MT.So glad that other people felt it too and that my room isn't possessed.Right??"
31,Stay safe John..More scary than @iom_tt ?.Only earthquake I've felt was in Caton! Just felt an earthquake in Tokyo! #ViagraEarthMover .imagine us fans have to go through in the hedges at the tt when you zip past at full throttle.
32,"Here at work..Felt it, for about 30 secs - 1 min!.A strong thud here at UP College of Mass Communication.UP Manila.felt here in Manila.take care just pray guys.it's all over the originated in malacanang the drug war We felt an earthquake just now from the newsroom."
33,Just felt an earthquake in my hotel room in Muskogee.felt it here in Wichita. I felt it too..just remember.
